Confidence,Support,COUNT,TYPE
>25, ≥ 1,919,Non-Literal
>25, ≥ 1,1692,Literal
>25, > 100,761,Non-Literal
>25, > 100,1409,Literal
>25, > 500,535,Non-Literal
>25, > 500,1093,Literal
>25, > 1000,410,Non-Literal
>25, > 1000,903,Literal
>50, ≥ 1,324,Non-Literal
>50, ≥ 1,1311,Literal
>50, > 100,268,Non-Literal
>50, > 100,1101,Literal
>50, > 500,201,Non-Literal
>50, > 500,852,Literal
>50, > 1000,163,Non-Literal
>50, > 1000,713,Literal
>90, ≥ 1,38,Non-Literal
>90, ≥ 1,752,Literal
>90, > 100,31,Non-Literal
>90, > 100,633,Literal
>90, > 500,19,Non-Literal
>90, > 500,489,Literal
>90, > 1000,11,Non-Literal
>90, > 1000,390,Literal
>75, ≥ 1,118,Non-Literal
>75, ≥ 1,975,Literal
>75, > 100,102,Non-Literal
>75, > 100,822,Literal
>75, > 500,75,Non-Literal
>75, > 500,636,Literal
>75, > 1000,58,Non-Literal
>75, > 1000,516,Literal
